n,r,m
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '美人鱼发光杆菌病', label: '常见疾病'})"
(:EntityType {label: '常见疾病'}),[:具有],"(:Entity {name: '细菌性肠炎病', label: '常见疾病'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '热带海洋', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '暖水性中上层', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '暖水', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '暖水性', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '温带中、上层', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '温水', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '温热带', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '广盐性', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '热带水温', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '近沿岸砂泥底质水域', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '砂泥底质的内湾', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '沿岸礁石底质水域', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '暖温性', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '中上层洄游暖水性', label: '栖息环境'})"
(:EntityType {label: '栖息环境'}),[:具有],"(:Entity {name: '河口海湾', label: '栖息环境'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: ' ', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '头部扁平', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '形似卵状', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '身体扁平', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '尾部纤长', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '圆形鳞片', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳞片坚硬', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '臀鳍和第二背鳍一样长', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鱼刺较少', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肉质鲜嫩', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '味道鲜美', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '营养价值高', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '消化较快', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食量较大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹部和鱼鳝呈金黄色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '观扁平，', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '形普通，', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '质优良。', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肉质口感鲜甜', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '富含丰富的营养 成分', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '适应性比较强', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '病害较少', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食量大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '成活率低下', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '生长发育缓慢', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '减缓进食速度', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游动的速度也明显下降', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肉质更加紧实', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '味道更加美味', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '增加金鲳鱼鱼群的产量', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游泳异常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼球突出且浑浊', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍条基部充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肉质鲜美', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '生长速率高', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '营养丰富', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼球突出', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '浑浊', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼眶充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肛门红肿', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹部肿大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '绝食', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '摄食量减少', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '平衡能力降低', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '翻滚', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '转圈', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '胆囊肿大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '胆汁 变稀', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝脏增大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹鳍出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '内脏器官肿大充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '皮肤肌肉溃烂', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体色发黑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '吻端发红', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表粘液增多', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食欲不振', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游动缓慢或静止', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '旋转游泳', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃盖内侧发红和出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '生长迅速', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '抗病力强', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '抗病力很强', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '白色斑点', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '粘液增多', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳞片脱落', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '厌食', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游动缓慢', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '呼吸困难', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '死亡', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表失去光泽', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游动迟缓', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍条溃烂', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表和鳃部粘液增多', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '局部鳞片脱落', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游泳失去平衡', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '打转', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '一侧或两侧眼球突出、发炎、坏死或脱落', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游泳迟钝', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '粘液分泌增多', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '白斑点', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食欲不强', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '狂游', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '胸鳍向前僵直', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鱼体变黑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '不摄食', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游动无力', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '浮于水表', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '粘液分泌过多', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '白浊', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃组织坏死', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表皮肤溃疡', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体色呈斑块状褪色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '浮游于水面', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '发红', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '斑点状出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '血性溃痪', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '色鳍基部', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '躯干', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '吻端或鳍膜烂掉', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肛门发红扩张', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '有黄色黏液流出', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼内有出血点', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '胃内无食物', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝、肾等明显充血、肿大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '空肠并带有黄色黏液', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '独游', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鱼体发黑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食欲减退', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠壁局部充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠腔内没有食物', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠内有大量淡黄色黏液', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠壁弹性较差', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '黄色黏液从肛门流出', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠内黏膜脱落，出血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '活力差', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '摄饵不良', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '身体瘦弱', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游动异常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '无力', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹部朝上', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '盘旋游动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '狂奔', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼球脱落', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '浮上水面', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '脑、眼、口部充血发红', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体色完好', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '背部', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '尾鳍部', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '下腹部', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '脓汁', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '疖疮红肿', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '皮肤溃烂', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '生长速度快', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肉质细嫩', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '较强抗病能力', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '个头大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肉鲜嫩', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食量很大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '易消化', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '繁殖能力很强', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '不明黏性液体', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '活动明显减少', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食欲变差', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腥臭味液体', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '双鳍溃烂', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食欲减弱', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '行动迟缓', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼球明显突出', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '无法正常游动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表会出现褪色斑块', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '活动能力微弱下降', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '色鳍基部、躯干等部位会有明显发红症状', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '伴血色斑点出现', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '部分患处呈出血性溃痪', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝和肾充血明显', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体内含有大量黄色黏液', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体内无任何食物或残留物', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表面呈黑色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '活动异常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '浮于水体表面', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '身体消瘦', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体色发暗', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鱼体呈现出黑色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '活动能力明显减弱', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '丧失主动游水能力', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼部和口部会有明显充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '不进食', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠壁局部充血明显', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '空肠', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠内黏膜脱落', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠壁弹性变差', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠内出现淡黄色黏液外流', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '浮于水面', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '行动困难', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '迟缓', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '呼吸不畅', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍及鳃部分泌大量粘液', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鱼体表面出现不规则斑点', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠部发炎', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表和心、脾、肾等内脏出现白色结节', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '内脏或体表出现结节突起', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃发白', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表较完好', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍基部呈现灰白色突起溃烂', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '内脏（肾、脾、肝）出现大量白色结节', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '反应迟钝', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '食欲下降', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肾、脾、肝均出现大量白色结节', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '内脏出现明显白色结节', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '脊柱及尾部骨骼开始分化', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '无肉中刺', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '纤维细致', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表发黑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '旋转状游动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '漂游于水面', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '颜色变白', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '溃疡', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '内脏器官无腹水', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表或鳍基部出现轻微的擦伤', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '漂浮于水面', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表充血发炎', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '结节样脓疮', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍基部充血发红', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹部肿胀', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝、肾脏、脾脏充血肿大', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹水', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '摄食与活动能力下降', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腹腔', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '脾脏', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表色泽正常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '黄色黏稠液体', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肛门', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肠道严重溃疡', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝脏颜色变白', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '离群', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '头部及胸腹部充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '背腹部皮肤腐烂', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃盖破损', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃丝充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '腐烂', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝脏与肠壁充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳍条溃疡', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '末端分叉', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '呼吸频率加快', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃部有污泥', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体侧鳞片脱落', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '侧卧于水面游动', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表和鱼鳍有大量白点', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '血液量少', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '血凝速度快', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '肝脏花白发脆', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游泳缓慢', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '侧翻', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '摩擦池壁', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体表粘液分泌较多', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '白斑', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '呈暗蓝色', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '眼睛充血', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '摄食减少', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '晚间活动加剧', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '在水面上跳跃', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '鳃丝', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '体色正常', label: '生物学特征'})"
(:EntityType {label: '生物学特征'}),[:具有],"(:Entity {name: '游泳速度较慢', label: '生物学特征'})"
